method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.005501302083333334,0.002205148379484368,0.044285568675807234,0.005598958333333333,0.005403645833333333
tda,entropy,2.1154904168099167,0.8387888066775228,-0.547927324412775,1.655895110219717,2.575085723400116
tda,jsd_clip_fused,7.613847070994476e-05,0.00010629288027813,0.32395694086459237,0.00011057278704053412,4.170415437935541e-05
tda,pred_confidence,0.4572671959797541,0.24714304121495942,0.6092535242219619,0.6078399648269017,0.30669442713260653
freetta,em_weight,0.026015269746896753,0.13979777399937526,0.18570063274013812,0.05197580483424354,5.473465954995647e-05
freetta,entropy,2.1107778469721477,0.8404653674828948,-0.5480831815444395,1.650132914384206,2.571422779560089
freetta,mu_drift_from_init,0.01054176884942232,0.0028129381526137785,0.0003348329163570942,0.010542710713707493,0.010540826985137149
freetta,mu_update_norm,0.0003768578686042875,0.002023315690680224,0.18570366008217215,0.0007525949978652931,1.1207393432817922e-06
freetta,pred_confidence,0.46300106719136236,0.24885678399995179,0.6177693268279376,0.616737155119578,0.3092649792631467
freetta,weight,0.026015269746896753,0.13979777399937526,0.18570063274013812,0.05197580483424354,5.473465954995647e-05
