step,baseline_running_acc,tda_running_acc,freetta_running_acc
1,0.0,0.0,0.0
2,0.5,0.5,0.5
3,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.5,0.5,0.5
5,0.6,0.6,0.6
6,0.6666666666666666,0.6666666666666666,0.6666666666666666
7,0.7142857142857143,0.7142857142857143,0.7142857142857143
8,0.625,0.625,0.625
9,0.5555555555555556,0.5555555555555556,0.5555555555555556
10,0.6,0.6,0.6
11,0.6363636363636364,0.6363636363636364,0.6363636363636364
12,0.5833333333333334,0.5833333333333334,0.5833333333333334
13,0.6153846153846154,0.6153846153846154,0.6153846153846154
14,0.6428571428571429,0.6428571428571429,0.6428571428571429
15,0.6666666666666666,0.6666666666666666,0.6666666666666666
16,0.625,0.625,0.625
17,0.6470588235294118,0.6470588235294118,0.6470588235294118
18,0.6111111111111112,0.6111111111111112,0.6111111111111112
19,0.631578947368421,0.631578947368421,0.631578947368421
20,0.65,0.65,0.65
21,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,0.6818181818181818,0.6818181818181818,0.6818181818181818
23,0.6521739130434783,0.6521739130434783,0.6521739130434783
24,0.6666666666666666,0.6666666666666666,0.6666666666666666
25,0.68,0.68,0.68
26,0.6923076923076923,0.6923076923076923,0.6923076923076923
27,0.7037037037037037,0.7037037037037037,0.7037037037037037
28,0.7142857142857143,0.7142857142857143,0.7142857142857143
29,0.7241379310344828,0.7241379310344828,0.7241379310344828
30,0.7333333333333333,0.7333333333333333,0.7333333333333333
