method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.0107421875,0.0065606783806098955,0.3029414678882623,0.011940696022727272,0.0074462890625
tda,entropy,0.8088425579170386,0.5045691122179536,-0.6498775164196017,0.6111065206879919,1.352616660296917
tda,jsd_clip_fused,0.00062550826523875,0.0006020841998352473,0.36924860018840305,0.0007595715144981858,0.00025683432977530174
tda,pred_confidence,0.7411719967921575,0.2002341541907197,0.6678695636917962,0.8218144002285871,0.5194053873419762
freetta,em_weight,0.12307896924667147,0.22214143878758055,0.3310403966606599,0.16742392513366544,0.0011303405574381031
freetta,entropy,0.7854772463440896,0.5094028216562402,-0.6572006954213335,0.5835973776199601,1.3406468853354454
freetta,mu_drift_from_init,0.04039637562048786,0.01856462005737365,0.30983599450525234,0.043864954601634636,0.03085778342233425
freetta,mu_update_norm,0.002510867129548207,0.0042639425942504385,0.35098043673934093,0.0034133270269194327,2.9102411777337522e-05
freetta,pred_confidence,0.7476192454497019,0.19417654485471905,0.6472125916101322,0.8234032202850688,0.5392133146524429
freetta,weight,0.12307896924667147,0.22214143878758055,0.3310403966606599,0.16742392513366544,0.0011303405574381031
