bin_index,entropy_min,entropy_max,count,tda_acc,freetta_acc,freetta_minus_tda
0,0.03960289806127548,1.3443349301815033,6750,0.6601481481481482,0.3328888888888889,-0.32725925925925925
1,1.3443349301815033,1.7734441757202148,6750,0.5211851851851852,0.22118518518518518,-0.30000000000000004
2,1.7734441757202148,2.0689443349838257,6750,0.3671111111111111,0.10785185185185185,-0.25925925925925924
3,2.0689443349838257,2.2926063537597656,6750,0.07051851851851852,0.013185185185185185,-0.05733333333333333
