step,tda_running_acc,freetta_running_acc
1,1.0,1.0
2,1.0,1.0
3,0.6666666666666666,0.6666666666666666
4,0.5,0.5
5,0.4,0.4
6,0.3333333333333333,0.3333333333333333
7,0.2857142857142857,0.2857142857142857
8,0.25,0.25
9,0.2222222222222222,0.2222222222222222
10,0.3,0.3
11,0.36363636363636365,0.36363636363636365
12,0.4166666666666667,0.4166666666666667
13,0.38461538461538464,0.38461538461538464
14,0.35714285714285715,0.35714285714285715
15,0.3333333333333333,0.3333333333333333
16,0.3125,0.3125
17,0.35294117647058826,0.35294117647058826
18,0.3888888888888889,0.3888888888888889
19,0.42105263157894735,0.42105263157894735
20,0.4,0.4
21,0.42857142857142855,0.42857142857142855
22,0.45454545454545453,0.45454545454545453
23,0.43478260869565216,0.43478260869565216
24,0.4166666666666667,0.4166666666666667
25,0.4,0.4
26,0.38461538461538464,0.38461538461538464
27,0.4074074074074074,0.4074074074074074
28,0.39285714285714285,0.39285714285714285
29,0.3793103448275862,0.3793103448275862
30,0.36666666666666664,0.36666666666666664
31,0.3548387096774194,0.3548387096774194
32,0.375,0.375
33,0.3939393939393939,0.3939393939393939
34,0.4117647058823529,0.4117647058823529
35,0.4,0.4
36,0.4166666666666667,0.4166666666666667
37,0.40540540540540543,0.40540540540540543
38,0.39473684210526316,0.39473684210526316
39,0.41025641025641024,0.41025641025641024
40,0.425,0.425
41,0.43902439024390244,0.43902439024390244
42,0.42857142857142855,0.42857142857142855
43,0.4186046511627907,0.4186046511627907
44,0.4090909090909091,0.4090909090909091
45,0.4222222222222222,0.4222222222222222
46,0.41304347826086957,0.41304347826086957
47,0.425531914893617,0.425531914893617
48,0.4375,0.4375
49,0.4489795918367347,0.4489795918367347
50,0.46,0.46
51,0.47058823529411764,0.47058823529411764
52,0.46153846153846156,0.46153846153846156
53,0.4528301886792453,0.4528301886792453
54,0.4444444444444444,0.4444444444444444
55,0.45454545454545453,0.45454545454545453
56,0.44642857142857145,0.44642857142857145
57,0.43859649122807015,0.43859649122807015
58,0.43103448275862066,0.43103448275862066
59,0.423728813559322,0.423728813559322
60,0.43333333333333335,0.43333333333333335
61,0.4262295081967213,0.4262295081967213
62,0.41935483870967744,0.41935483870967744
63,0.42857142857142855,0.42857142857142855
64,0.4375,0.4375
65,0.4461538461538462,0.4461538461538462
66,0.4393939393939394,0.4393939393939394
67,0.43283582089552236,0.43283582089552236
68,0.4411764705882353,0.4411764705882353
69,0.4492753623188406,0.4492753623188406
70,0.44285714285714284,0.44285714285714284
71,0.43661971830985913,0.43661971830985913
72,0.4444444444444444,0.4444444444444444
73,0.4520547945205479,0.4520547945205479
74,0.44594594594594594,0.44594594594594594
75,0.44,0.44
76,0.4342105263157895,0.4342105263157895
77,0.42857142857142855,0.42857142857142855
78,0.4230769230769231,0.4230769230769231
79,0.43037974683544306,0.43037974683544306
80,0.425,0.425
81,0.41975308641975306,0.41975308641975306
82,0.4146341463414634,0.4146341463414634
83,0.40963855421686746,0.40963855421686746
84,0.40476190476190477,0.40476190476190477
85,0.4117647058823529,0.4117647058823529
86,0.4069767441860465,0.4069767441860465
87,0.40229885057471265,0.40229885057471265
88,0.3977272727272727,0.3977272727272727
89,0.39325842696629215,0.39325842696629215
90,0.4,0.4
91,0.4065934065934066,0.4065934065934066
92,0.40217391304347827,0.40217391304347827
93,0.3978494623655914,0.3978494623655914
94,0.39361702127659576,0.39361702127659576
95,0.3894736842105263,0.3894736842105263
96,0.3854166666666667,0.3854166666666667
