method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.8579818431712963,0.27469337519180975,-0.01414804810785071,0.8532687141116856,0.861186489410932
tda,entropy,1.634023514833853,0.4893854782576213,-0.5686795160264764,1.2965161282978925,1.8635083779538744
tda,jsd_clip_fused,0.04079484335890747,0.036472247028593814,-0.22440471587189798,0.030869189660236322,0.047543695002702786
tda,pred_confidence,0.42352354933487046,0.20944432210704567,0.5854226104726773,0.5722207189789846,0.32241835583867334
freetta,em_weight,0.0037979643254775026,0.030655538173158078,0.2079361865951465,0.01794416974557421,0.0009256095556436706
freetta,entropy,1.6589819894430262,0.46864516527779976,-0.37067292749160013,1.2734717218099467,1.737258970666746
freetta,mu_drift_from_init,0.21223580731073963,0.027300711157602634,-0.042762988492452046,0.2096449532595265,0.21276187432100468
freetta,mu_update_norm,1.4764451075718042e-05,0.0002942553133953603,0.08040532477798022,6.727058774081859e-05,4.103199692976734e-06
freetta,pred_confidence,0.970565990039044,0.09466430354521964,-0.0012787976963861973,0.9702973386874868,0.9706205390836925
freetta,weight,0.0037979643254775026,0.030655538173158078,0.2079361865951465,0.01794416974557421,0.0009256095556436706
