dataset,method,accuracy,ece,avg_confidence,avg_true_class_prob,avg_final_entropy,entropy_drop_correct,entropy_drop_wrong,beneficial_entropy_drop,harmful_entropy_drop,selective_entropy_gap,change_rate,beneficial_flips,harmful_flips,beneficial_precision,harmful_rate_on_clip_correct
caltech,tda,0.9423935091277891,0.008167046296427312,0.945219872616851,0.9159935443448639,0.19523143151422115,0.11937286080174063,0.11436025258547193,0.3125569224357605,0.4095236857732137,0.005012608216268699,0.004462474645030426,7,3,0.6363636363636364,0.00129366106080207
caltech,freetta,0.9432048681541582,0.9317883578278351,0.011416510326323112,0.011406865331739126,4.604690754292703,5.678525535009241e-05,4.6208926609584264e-05,4.400147332085503e-05,4.943211873372396e-05,1.0576328740508145e-05,0.013793103448275862,18,12,0.5294117647058824,0.00517464424320828
dtd,tda,0.47393617021276596,0.12669325330235223,0.6006294235151182,0.3853632680451812,1.5361319751735711,0.5702574107113664,0.5548416799456032,0.36552280326222264,0.40183874400886327,0.015415730765763191,0.09787234042553192,43,37,0.23369565217391305,0.04180790960451977
dtd,freetta,0.4819148936170213,0.45939918315592915,0.02251571046109212,0.022282378413179454,3.8498937975853047,8.669910051964766e-05,7.531677183429318e-05,7.049415422522503e-05,7.043838500976562e-05,1.138232868535448e-05,0.10638297872340426,46,25,0.23,0.02824858757062147
eurosat,tda,0.5803703703703704,0.04154675038324461,0.546646180515304,0.4269446279815173,1.2907791976623215,0.16879030437133627,0.1596942659139756,0.15865404950322914,0.17585830575541447,0.009096038457360678,0.15691358024691357,353,475,0.27773406766325726,0.09848641924113623
eurosat,freetta,0.6218518518518519,0.5185710641327832,0.1032807877190687,0.10280213106653573,2.3023964591673862,6.143985723298955e-05,5.809201394036592e-05,4.9334461406125864e-05,5.3533485957554407e-05,3.3478432926236317e-06,0.09160493827160494,354,140,0.477088948787062,0.02902757619738752
pets,tda,0.8863450531479967,0.03529823872594032,0.9163393165929404,0.8522229887446114,0.24192173698897332,0.19845439873300694,0.36967836883932753,0.29760795611549506,0.07732173120975494,-0.1712239701063206,0.06268738075769964,77,125,0.3347826086956522,0.03787878787878788
pets,freetta,0.890160806759335,0.8596535988809969,0.030507207878338084,0.03047111760098949,3.609767136374947,2.7471061725231014e-05,7.705357175311143e-05,6.637206444373497e-05,9.278033642058677e-05,-4.958251002788042e-05,0.021804306350504225,13,47,0.1625,0.014242424242424242
