method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.2432887300531915,0.13844568918912484,-0.017495465056785498,0.24031889771970705,0.24526423411204606
tda,entropy,2.238527503623528,0.891759005100434,-0.46061672887737704,1.7348944643951367,2.573539383570846
tda,jsd_clip_fused,0.008847054594793628,0.008399214492115975,-0.11991441146012978,0.007612139626261428,0.009668508218679971
tda,pred_confidence,0.4164447108818654,0.26004104491579866,0.4865365350937682,0.5715706282842176,0.31325643455842306
freetta,em_weight,0.031041903701811518,0.13771652705886925,0.31669930736813173,0.09521609986610369,0.0014000121609176236
freetta,entropy,2.156019983625168,0.9104279799610292,-0.5179218098111823,1.4622155707964504,2.4764864075911546
freetta,mu_drift_from_init,0.10680958311477298,0.03604323622562444,-0.10974956424295267,0.1009891695449623,0.10949801675432783
freetta,mu_update_norm,0.00010633347971089309,0.0006068318243236811,0.23008420634308782,0.000311772255690161,1.1441852236798914e-05
freetta,pred_confidence,0.6275520788148997,0.2718442120369452,0.3047090236915375,0.7494321412811376,0.5712560001951911
freetta,weight,0.031041903701811518,0.13771652705886925,0.31669930736813173,0.09521609986610369,0.0014000121609176236
