step,tda_running_acc,freetta_running_acc
1,0.0,0.0
2,0.5,0.5
3,0.6666666666666666,0.6666666666666666
4,0.5,0.5
5,0.6,0.6
6,0.6666666666666666,0.6666666666666666
7,0.7142857142857143,0.7142857142857143
8,0.625,0.625
9,0.5555555555555556,0.5555555555555556
10,0.6,0.6
11,0.5454545454545454,0.5454545454545454
12,0.5,0.5
13,0.5384615384615384,0.5384615384615384
14,0.5,0.5
15,0.5333333333333333,0.5333333333333333
16,0.5,0.5
17,0.5294117647058824,0.5294117647058824
18,0.5,0.5
19,0.47368421052631576,0.47368421052631576
20,0.45,0.45
21,0.47619047619047616,0.47619047619047616
22,0.45454545454545453,0.45454545454545453
23,0.4782608695652174,0.4782608695652174
24,0.5,0.5
25,0.52,0.52
26,0.5384615384615384,0.5384615384615384
27,0.5185185185185185,0.5185185185185185
28,0.5357142857142857,0.5357142857142857
29,0.5172413793103449,0.5172413793103449
30,0.5,0.5
31,0.4838709677419355,0.4838709677419355
32,0.46875,0.46875
33,0.48484848484848486,0.48484848484848486
34,0.47058823529411764,0.47058823529411764
35,0.45714285714285713,0.45714285714285713
36,0.4722222222222222,0.4722222222222222
37,0.4594594594594595,0.4594594594594595
38,0.4473684210526316,0.4473684210526316
39,0.46153846153846156,0.46153846153846156
40,0.45,0.45
41,0.4634146341463415,0.4634146341463415
42,0.4523809523809524,0.4523809523809524
43,0.4418604651162791,0.4418604651162791
44,0.4318181818181818,0.4318181818181818
45,0.4222222222222222,0.4222222222222222
46,0.41304347826086957,0.41304347826086957
47,0.425531914893617,0.425531914893617
48,0.4166666666666667,0.4166666666666667
49,0.40816326530612246,0.40816326530612246
50,0.42,0.42
51,0.4117647058823529,0.4117647058823529
52,0.4230769230769231,0.4230769230769231
53,0.41509433962264153,0.41509433962264153
54,0.42592592592592593,0.42592592592592593
55,0.41818181818181815,0.41818181818181815
56,0.42857142857142855,0.42857142857142855
57,0.42105263157894735,0.42105263157894735
58,0.41379310344827586,0.41379310344827586
59,0.423728813559322,0.423728813559322
60,0.43333333333333335,0.43333333333333335
61,0.4262295081967213,0.4262295081967213
62,0.43548387096774194,0.43548387096774194
63,0.42857142857142855,0.42857142857142855
64,0.421875,0.421875
65,0.4153846153846154,0.4153846153846154
66,0.4090909090909091,0.4090909090909091
67,0.40298507462686567,0.40298507462686567
68,0.39705882352941174,0.39705882352941174
69,0.4057971014492754,0.4057971014492754
70,0.4,0.4
71,0.39436619718309857,0.39436619718309857
72,0.4027777777777778,0.4027777777777778
73,0.410958904109589,0.410958904109589
74,0.40540540540540543,0.40540540540540543
75,0.41333333333333333,0.41333333333333333
76,0.42105263157894735,0.42105263157894735
77,0.4155844155844156,0.4155844155844156
78,0.41025641025641024,0.41025641025641024
79,0.4177215189873418,0.4177215189873418
80,0.4125,0.4125
81,0.4074074074074074,0.4074074074074074
82,0.4024390243902439,0.4024390243902439
83,0.40963855421686746,0.40963855421686746
84,0.40476190476190477,0.40476190476190477
85,0.4117647058823529,0.4117647058823529
86,0.4186046511627907,0.4186046511627907
87,0.42528735632183906,0.42528735632183906
88,0.42045454545454547,0.42045454545454547
89,0.4157303370786517,0.4157303370786517
90,0.4222222222222222,0.4222222222222222
91,0.42857142857142855,0.42857142857142855
92,0.42391304347826086,0.42391304347826086
93,0.41935483870967744,0.41935483870967744
94,0.4148936170212766,0.4148936170212766
95,0.4105263157894737,0.4105263157894737
96,0.4166666666666667,0.4166666666666667
97,0.41237113402061853,0.41237113402061853
98,0.40816326530612246,0.40816326530612246
99,0.41414141414141414,0.41414141414141414
100,0.42,0.42
101,0.4158415841584158,0.4158415841584158
102,0.4117647058823529,0.4117647058823529
103,0.4077669902912621,0.4077669902912621
