dataset,samples,original_samples,sample_fraction,clip_acc,tda_acc,freetta_acc,freetta_minus_tda
caltech,2465,2465,1.0,0.9407707910750507,0.9423935091277891,0.9432048681541582,0.0008113590263691683
dtd,1880,1880,1.0,0.47074468085106386,0.47393617021276596,0.4819148936170213,0.007978723404255319
eurosat,8100,8100,1.0,0.5954320987654321,0.5803703703703704,0.6218518518518519,0.04148148148148148
pets,3669,3669,1.0,0.8994276369582993,0.8863450531479967,0.890160806759335,0.0038157536113382394
