method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.005501302083333334,0.002205148379484368,0.044285568675807234,0.005598958333333333,0.005403645833333333
tda,entropy,2.1154904168099167,0.8387888066775228,-0.547927324412775,1.655895110219717,2.575085723400116
tda,jsd_clip_fused,7.613847070994476e-05,0.00010629288027813,0.32395694086459237,0.00011057278704053412,4.170415437935541e-05
tda,pred_confidence,0.4572671959797541,0.24714304121495942,0.6092535242219619,0.6078399648269017,0.30669442713260653
freetta,em_weight,0.0289128952733129,0.15183799457990801,0.18652797684269143,0.05723492921015468,0.0005908613364711194
freetta,entropy,2.1107778469721477,0.8404653674828948,-0.5480831815444395,1.650132914384206,2.571422779560089
freetta,mu_drift_from_init,0.011340126835663492,0.0029845964103826527,0.0045081893448861935,0.011353581961399566,0.01132667170992742
freetta,mu_update_norm,0.0004101057972407607,0.002130002159947403,0.18688358998259935,0.0008081682475624222,1.2043346919099127e-05
freetta,pred_confidence,0.47343928664922713,0.25179266592097127,0.6350841451203637,0.6333488166332245,0.3135297566652298
freetta,weight,0.0289128952733129,0.15183799457990801,0.18652797684269143,0.05723492921015468,0.0005908613364711194
