step,baseline_running_acc,tda_running_acc,freetta_running_acc
1,0.0,0.0,0.0
2,0.5,0.5,0.5
3,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.5,0.5,0.5
5,0.6,0.6,0.6
6,0.6666666666666666,0.6666666666666666,0.6666666666666666
7,0.7142857142857143,0.7142857142857143,0.7142857142857143
8,0.625,0.625,0.625
9,0.5555555555555556,0.5555555555555556,0.5555555555555556
10,0.6,0.6,0.6
11,0.5454545454545454,0.5454545454545454,0.5454545454545454
12,0.5,0.5,0.5
13,0.5384615384615384,0.5384615384615384,0.5384615384615384
14,0.5,0.5,0.5
15,0.5333333333333333,0.5333333333333333,0.5333333333333333
16,0.5,0.5,0.5
17,0.5294117647058824,0.5294117647058824,0.5294117647058824
18,0.5,0.5,0.5
19,0.47368421052631576,0.47368421052631576,0.47368421052631576
20,0.45,0.45,0.45
21,0.47619047619047616,0.47619047619047616,0.47619047619047616
22,0.45454545454545453,0.45454545454545453,0.45454545454545453
23,0.4782608695652174,0.4782608695652174,0.4782608695652174
24,0.5,0.5,0.5
25,0.52,0.52,0.52
26,0.5384615384615384,0.5384615384615384,0.5384615384615384
27,0.5185185185185185,0.5185185185185185,0.5185185185185185
28,0.5357142857142857,0.5357142857142857,0.5357142857142857
29,0.5172413793103449,0.5172413793103449,0.5172413793103449
30,0.5,0.5,0.5
