step,tda_running_acc,freetta_running_acc
1,0.0,0.0
2,0.5,0.5
3,0.6666666666666666,0.6666666666666666
4,0.5,0.5
5,0.6,0.6
6,0.6666666666666666,0.6666666666666666
7,0.7142857142857143,0.7142857142857143
8,0.625,0.625
9,0.5555555555555556,0.5555555555555556
10,0.6,0.6
11,0.6363636363636364,0.6363636363636364
12,0.5833333333333334,0.5833333333333334
13,0.6153846153846154,0.6153846153846154
14,0.6428571428571429,0.6428571428571429
15,0.6666666666666666,0.6666666666666666
16,0.625,0.625
17,0.6470588235294118,0.6470588235294118
18,0.6111111111111112,0.6111111111111112
19,0.631578947368421,0.631578947368421
20,0.65,0.65
21,0.6666666666666666,0.6666666666666666
22,0.6818181818181818,0.6818181818181818
23,0.6521739130434783,0.6521739130434783
24,0.6666666666666666,0.6666666666666666
25,0.68,0.68
26,0.6923076923076923,0.6923076923076923
27,0.7037037037037037,0.7037037037037037
28,0.7142857142857143,0.7142857142857143
29,0.7241379310344828,0.7241379310344828
30,0.7333333333333333,0.7333333333333333
31,0.7419354838709677,0.7419354838709677
32,0.75,0.75
33,0.7575757575757576,0.7575757575757576
34,0.7352941176470589,0.7352941176470589
35,0.7428571428571429,0.7428571428571429
36,0.75,0.75
37,0.7297297297297297,0.7297297297297297
38,0.7105263157894737,0.7105263157894737
39,0.717948717948718,0.717948717948718
40,0.7,0.7
41,0.7073170731707317,0.7073170731707317
42,0.7142857142857143,0.7142857142857143
43,0.7209302325581395,0.7209302325581395
44,0.7045454545454546,0.7045454545454546
45,0.6888888888888889,0.6888888888888889
46,0.6739130434782609,0.6739130434782609
47,0.6595744680851063,0.6595744680851063
48,0.6666666666666666,0.6666666666666666
49,0.673469387755102,0.673469387755102
50,0.66,0.66
51,0.6666666666666666,0.6666666666666666
52,0.6730769230769231,0.6730769230769231
53,0.6792452830188679,0.6792452830188679
54,0.6851851851851852,0.6851851851851852
55,0.6909090909090909,0.6909090909090909
56,0.6964285714285714,0.6964285714285714
57,0.7017543859649122,0.7017543859649122
58,0.7068965517241379,0.7068965517241379
59,0.6949152542372882,0.6949152542372882
60,0.7,0.7
61,0.6885245901639344,0.6885245901639344
62,0.6935483870967742,0.6935483870967742
63,0.6825396825396826,0.6825396825396826
64,0.6875,0.6875
65,0.676923076923077,0.676923076923077
66,0.6818181818181818,0.6818181818181818
67,0.6716417910447762,0.6716417910447762
68,0.6764705882352942,0.6764705882352942
69,0.6811594202898551,0.6811594202898551
70,0.6857142857142857,0.6857142857142857
71,0.6901408450704225,0.6901408450704225
72,0.6944444444444444,0.6944444444444444
73,0.6986301369863014,0.6986301369863014
74,0.7027027027027027,0.7027027027027027
75,0.7066666666666667,0.7066666666666667
76,0.7105263157894737,0.7105263157894737
77,0.7142857142857143,0.7142857142857143
78,0.7051282051282052,0.7051282051282052
79,0.7088607594936709,0.7088607594936709
80,0.7125,0.7125
81,0.7160493827160493,0.7160493827160493
82,0.7195121951219512,0.7195121951219512
83,0.7228915662650602,0.7228915662650602
84,0.7261904761904762,0.7261904761904762
85,0.7294117647058823,0.7294117647058823
86,0.7325581395348837,0.7325581395348837
87,0.735632183908046,0.735632183908046
88,0.7386363636363636,0.7386363636363636
89,0.7415730337078652,0.7415730337078652
90,0.7444444444444445,0.7444444444444445
91,0.7472527472527473,0.7472527472527473
92,0.75,0.75
93,0.7526881720430108,0.7526881720430108
94,0.7553191489361702,0.7553191489361702
95,0.7473684210526316,0.7473684210526316
96,0.75,0.75
97,0.7422680412371134,0.7422680412371134
98,0.7448979591836735,0.7448979591836735
99,0.7373737373737373,0.7373737373737373
100,0.74,0.74
101,0.7425742574257426,0.7425742574257426
102,0.7450980392156863,0.7450980392156863
103,0.7475728155339806,0.7475728155339806
