bin_index,entropy_min,entropy_max,count,accuracy
0,0.0025248941965401173,0.2733249084627015,1018,0.8113948919449901
1,0.2733249084627015,0.5441249227288629,563,0.5044404973357016
2,0.5441249227288629,0.8149249369950243,577,0.317157712305026
3,0.8149249369950243,1.0857249512611857,589,0.21561969439728354
4,1.0857249512611857,1.3565249655273472,423,0.1276595744680851
5,1.3565249655273472,1.6273249797935085,241,0.11203319502074689
6,1.6273249797935085,1.8981249940596698,129,0.10077519379844961
7,1.8981249940596698,2.1689250083258313,78,0.02564102564102564
8,2.1689250083258313,2.439725022591993,44,0.045454545454545456
9,2.439725022591993,2.7105250368581544,7,0.0
