bin_index,entropy_min,entropy_max,count,accuracy
0,0.4671889543533325,0.6392527223633362,1,1.0
1,0.6392527223633362,0.8113164903733399,0,nan
2,0.8113164903733399,0.9833802583833435,1,0.0
3,0.9833802583833435,1.1554440263933472,3,0.0
4,1.1554440263933472,1.3275077944033509,0,nan
5,1.3275077944033509,1.4995715624133545,5,0.2
6,1.4995715624133545,1.6716353304233582,3,0.6666666666666666
7,1.6716353304233582,1.8436990984333619,1,1.0
8,1.8436990984333619,2.0157628664433656,6,0.3333333333333333
9,2.0157628664433656,2.1878266344533692,10,0.3
