method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.0004557291666666667,0.0004871949722361903,0.1201645033300621,0.0005326704545454545,0.00041118421052631577
tda,entropy,1.7058084507783253,0.43987999674574824,-0.12424858191501323,1.6339784102006392,1.7473942637443542
tda,jsd_clip_fused,3.7427989203327644e-06,7.8806601899797e-06,-0.008642044775578983,3.653291390616108e-06,3.794619069116092e-06
tda,pred_confidence,0.33704569886128105,0.14902260784300794,0.2536305594615984,0.3867202780463479,0.30828673196466344
freetta,em_weight,0.0023478419293799864,0.010847071276780473,0.24546467151012227,0.0061132884766948335,0.0004651186557225628
freetta,entropy,1.7053107043107352,0.4403371759668015,-0.01202591600566668,1.6978217959403992,1.709055158495903
freetta,mu_drift_from_init,0.002865431265978676,0.002960892191902408,0.02556308750054804,0.002972472448718122,0.002811910674608953
freetta,mu_update_norm,0.00021492947228504515,0.0009910049144511018,0.24519990789534407,0.0005585753263659399,4.310654524459778e-05
freetta,pred_confidence,0.34223972757657367,0.15096075728379202,0.20528079695083049,0.3860652789473534,0.3203269518911839
freetta,weight,0.0023478419293799864,0.010847071276780473,0.24546467151012227,0.0061132884766948335,0.0004651186557225628
