method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.01044921875,0.006478518863524213,-0.11460095452285975,0.0101171875,0.012109375
tda,entropy,1.2090692748626073,1.1916694874193925,-0.4481838485894638,0.9702182996273041,2.4033241510391234
tda,jsd_clip_fused,0.0007207777834082662,0.0007306601665696491,0.18463450818219426,0.0007811091695111828,0.00041912085289368405
tda,pred_confidence,0.7071887741486231,0.29393219731395437,0.5123955533881122,0.7745434129238129,0.37041558027267457
freetta,em_weight,0.238392143744217,0.3396983503901611,0.31115203860495655,0.28566165222884865,0.002044601321058781
freetta,entropy,1.1874885711818934,1.1986757554503764,-0.44800219698954147,0.9473306791484356,2.388278031349182
freetta,mu_drift_from_init,0.02495378927013802,0.014937022065114918,-0.126684230491277,0.024107533626216978,0.029185067489743234
freetta,mu_update_norm,0.001575802733551838,0.002192361506499449,0.3174957835000883,0.0018870927038146235,1.935288223791076e-05
freetta,pred_confidence,0.7151894629001617,0.29403241390926954,0.5210658980879365,0.7837071758508682,0.37260089814662933
freetta,weight,0.238392143744217,0.3396983503901611,0.31115203860495655,0.28566165222884865,0.002044601321058781
