dataset,tda_break_even_step,tda_break_even_ratio,freetta_break_even_step,freetta_break_even_ratio,conf_ftta_break_even_step,conf_ftta_break_even_ratio,ent_tda_break_even_step,ent_tda_break_even_ratio,hybrid_break_even_step,hybrid_break_even_ratio
caltech,536,0.21744421906693712,307,0.12454361054766734,307,0.12454361054766734,536,0.21744421906693712,70,0.028397565922920892
dtd,148,0.07872340425531915,97,0.05159574468085106,158,0.08404255319148936,148,0.07872340425531915,137,0.07287234042553191
eurosat,96,0.011851851851851851,105,0.012962962962962963,197,0.02432098765432099,96,0.011851851851851851,131,0.01617283950617284
imagenet,2378,0.2378,60,0.006,129,0.0129,2378,0.2378,165,0.0165
pets,163,0.044426274189152355,81,0.022076860179885527,81,0.022076860179885527,163,0.044426274189152355,91,0.024802398473698556
