dataset,disagreement_rate,n_disagree,tda_acc_on_disagree,freetta_acc_on_disagree,clip_acc_on_disagree,mean_clip_entropy_on_disagree,tda_wins,freetta_wins
caltech,0.01744421906693712,43,0.3488372093023256,0.5348837209302325,0.5116279069767442,1.2537367905295171,15,23
dtd,0.14414893617021277,271,0.22140221402214022,0.2140221402214022,0.16974169741697417,2.8065679391151863,60,58
eurosat,0.2334567901234568,1891,0.3945002644103649,0.2913802221047065,0.2078265468006346,1.8032962488220332,746,551
imagenet,0.0596,596,0.2751677852348993,0.23993288590604026,0.21644295302013422,2.5698206463716176,164,143
pets,0.03733987462523849,137,0.5255474452554745,0.3357664233576642,0.3357664233576642,1.232195032774097,72,46
