dataset,n_samples,clip_acc,tda_acc,freetta_acc,conf_ftta_acc,ent_tda_acc,hybrid_acc,tda_gain,freetta_gain,conf_ftta_gain,ent_tda_gain,hybrid_gain
caltech,2465,0.9354969574036511,0.9342799188640973,0.937525354969574,0.937525354969574,0.9359026369168357,0.9387423935091278,-0.0012170385395537942,0.0020283975659228792,0.0020283975659228792,0.00040567951318459805,0.0032454361054766734
dtd,1880,0.43936170212765957,0.46063829787234045,0.4595744680851064,0.4377659574468085,0.46382978723404256,0.4478723404255319,0.021276595744680882,0.02021276595744681,-0.0015957446808510523,0.024468085106382986,0.008510638297872353
eurosat,8100,0.48432098765432097,0.6214814814814815,0.5974074074074074,0.5864197530864198,0.6225925925925926,0.6155555555555555,0.13716049382716056,0.11308641975308642,0.10209876543209884,0.13827160493827162,0.13123456790123456
imagenet,10000,0.6235,0.6289,0.6268,0.6254,0.6298,0.625,0.00539999999999996,0.0032999999999999696,0.0018999999999999018,0.006299999999999972,0.0014999999999999458
pets,3669,0.883892068683565,0.896429544835105,0.8893431452711911,0.8874352684655219,0.8934314527119106,0.8907059144180975,0.012537476151539995,0.005451076587626114,0.0035431997819569405,0.009539384028345643,0.0068138457345325865
