dataset,clip_stability,tda_stability,freetta_stability,conf_ftta_stability,ent_tda_stability,hybrid_stability
caltech,0.9680898957527359,0.9681395885103924,0.9689929137939164,0.9689929137939164,0.9688003759660073,0.968341337919128
dtd,0.9339795543592732,0.9296069640235637,0.9215353761491449,0.9211092358544312,0.9295588633235828,0.9343445085301437
eurosat,0.9364803070282871,0.9287550289851008,0.926563487243186,0.9283683183524564,0.9300531872705458,0.9305656249571849
imagenet,0.9391545378058386,0.9386393181903969,0.9398327600782785,0.9398427423252852,0.9392359525083577,0.9397872309726778
pets,0.9540164419764599,0.9590677536227536,0.9540852687693343,0.9532049630444351,0.9582658275916163,0.956401756111614
