dataset,corr_pos_cache_tda_delta,corr_neg_gate_tda_delta,corr_em_weight_ft_delta,corr_drift_ft_acc,cache_pressure,neg_gate_rate,mean_mu_drift
caltech,0.06100432097138862,,-0.014456352003536245,-0.053694999828664686,0.6,0.0,1.134640177488327
dtd,0.04339302688295394,,-0.08737442666626598,-0.009990657038182488,0.574468085106383,0.0,1.1603223288059235
eurosat,0.24636672959737144,,-0.3475057019811555,-0.14559659386080562,0.6,0.0,1.141536647081375
pets,-0.05165794448839934,,-0.03133542475655084,0.19709664669729612,0.6,0.0,1.1220529091358185
imagenet,0.007203491538530796,,-0.02592541165724863,-0.04628518423729774,0.5936,0.0,1.1277150952816009
