dataset,n_samples,n_classes,clip_acc,tda_acc,ft_acc,tda_gain,ft_gain,winner,tda_change_rate,ft_change_rate,tda_bfp,ft_bfp,tda_break_even,ft_break_even,tda_early_acc,tda_late_acc,ft_early_acc,ft_late_acc,corr_ent_clip,mean_em,gas,oracle_c,oracle_1nn,ft_vs_tda_gain
caltech,2465,100,93.54969574036511,93.59026369168357,93.63083164300204,0.040567951318465134,0.08113590263693027,FreeTTA,0.008113590263691683,0.004056795131845842,0.5263157894736842,0.6,2304,1055,98.37728194726166,93.71196754563894,98.37728194726166,93.10344827586206,0.07618874667173627,0.8256331471204659,0.0559837661215064,97.4442183971405,91.84584178498986,0.040567951318459805
dtd,1880,47,43.93617021276596,45.159574468085104,46.54255319148936,1.2234042553191458,2.6063829787234027,FreeTTA,0.11861702127659575,0.16276595744680852,0.6263736263736264,0.6814814814814815,443,29,49.734042553191486,47.07446808510639,51.59574468085106,47.07446808510639,-0.261121098695621,0.46472899513686355,0.0957446651255831,73.19148778915405,63.61702127659574,1.3829787234042543
eurosat,8100,10,48.432098765432094,53.333333333333336,59.34567901234568,4.901234567901241,10.913580246913583,FreeTTA,0.4191358024691358,0.30950617283950616,0.6071235833783054,0.7708333333333334,7224,7,33.76543209876543,57.03703703703704,49.44444444444444,80.67901234567901,-0.4331505547361282,0.1977671800237327,-0.1154320967344589,78.25925946235657,89.80246913580247,6.012345679012343
pets,3669,37,88.3892068683565,88.68901608067593,88.63450531479967,0.29980921231943114,0.24529844644317222,TDA,0.01171981466339602,0.014717906786590351,0.6774193548387096,0.6216216216216216,4,4,76.80763983628923,96.58935879945429,75.85266030013642,96.72578444747613,0.027943556503305086,0.6503743907087046,0.0804033602216517,91.49631857872008,83.45598255655491,-0.054510765876258915
imagenet,10000,1000,62.35000000000001,62.72,62.72,0.36999999999999034,0.36999999999999034,TDA,0.0388,0.0362,0.5958549222797928,0.5948717948717949,362,1,65.7,60.8,65.7,60.45,-0.0736701830362169,0.5325583774225546,0.4082999955177307,82.71999955177307,41.89,0.0
