dataset,n,C,clip_acc,tda_acc,ft_acc,tda_gain,ft_gain,winner,tda_cr,ft_cr,tda_bfp,ft_bfp,tda_ent,ft_ent,gas,oracle_c,oracle_1nn,cache_pressure,mean_em
caltech,2465,100,93.54969574036511,93.59026369168357,93.63083164300204,0.040567951318465134,0.08113590263693027,FreeTTA,0.008113590263691683,0.004056795131845842,0.5263157894736842,0.6,0.16773736616261395,0.342615798573726,0.0559837661215064,0.974442183971405,0.9184584178498986,0.6,0.8256331471204659
dtd,1880,47,43.93617021276596,45.159574468085104,46.54255319148936,1.2234042553191458,2.6063829787234027,FreeTTA,0.11861702127659575,0.16276595744680852,0.6263736263736264,0.6814814814814815,1.5548104122334327,1.5375258416377233,0.0957446651255831,0.7319148778915405,0.6361702127659574,0.574468085106383,0.46472899513686355
eurosat,8100,10,48.432098765432094,53.333333333333336,59.34567901234568,4.901234567901241,10.913580246913583,FreeTTA,0.4191358024691358,0.30950617283950616,0.6071235833783054,0.7708333333333334,0.9769408754481274,0.8022896120238378,-0.1154320967344589,0.7825925946235657,0.8980246913580247,0.6,0.1977671800237327
pets,3669,37,88.3892068683565,88.68901608067593,88.63450531479967,0.29980921231943114,0.24529844644317222,TDA,0.01171981466339602,0.014717906786590351,0.6774193548387096,0.6216216216216216,0.4455486138679709,0.43358168717048473,0.0804033602216517,0.9149631857872008,0.8345598255655492,0.6,0.6503743907087046
imagenet,10000,1000,62.35000000000001,62.72,62.72,0.36999999999999034,0.36999999999999034,TDA,0.0388,0.0362,0.5958549222797928,0.5948717948717949,1.1278405758944683,1.2273094448943593,0.4082999955177307,0.8271999955177307,0.4189,0.5936,0.5325583774225546
