dataset,tda_saturation_sample,tda_saturation_pct,ft_saturation_sample,ft_saturation_pct,hard_gate_coverage_pct,mean_H_norm,soft_gate_mean_beta1.5,soft_gate_mean_beta3.0,soft_gate_mean_beta4.0,tda_helps_pct,ft_helps_pct,mean_cos_agreement,mean_mag_tda,mean_mag_ft
caltech,64,2.5963488843813387,189,7.667342799188641,0.0,0.9999204164979293,0.2231567981401276,0.04979895663757995,0.01832147041411116,100.0,0.0,-0.9342331886291504,188.4724578857422,132.06298828125
dtd,390,20.74468085106383,237,12.606382978723405,0.0,0.9999558902842811,0.22314492401442923,0.049793657142720694,0.01831887080268487,100.0,0.0,-0.9124918580055237,170.23422241210938,56.84843826293945
eurosat,245,3.0246913580246915,1187,14.654320987654321,0.0,0.9999253913896107,0.22315513358036068,0.04979821403951997,0.018321106240241247,100.0,0.0,-0.8330313563346863,99.7088851928711,26.125431060791016
pets,246,6.704824202780049,980,26.710275279367675,0.0,0.9996971824169418,0.22323153803064216,0.049832321025664886,0.018337839422878845,100.0,0.0,-0.8403698205947876,136.7658233642578,89.74862670898438
imagenet,8891,88.91,3806,38.06,0.0,0.999937476838753,0.22315108744363915,0.04979640787611646,0.01832022013202872,100.0,0.0,-0.9311704039573669,537.731201171875,501.1544494628906
