dataset,n,window,tda_break_even,ft_break_even,early_tda_acc,late_tda_acc,early_ft_acc,late_ft_acc,tda_adaptation_speed,ft_adaptation_speed
caltech,2465,61,2304,1055,98.37728194726166,93.71196754563894,98.37728194726166,93.10344827586206,-0.04665314401622722,-0.05273833671399597
dtd,1880,50,443,29,49.734042553191486,47.07446808510639,51.59574468085106,47.07446808510639,-0.02659574468085102,-0.04521276595744678
eurosat,8100,202,7224,7,33.76543209876543,57.03703703703704,49.44444444444444,80.67901234567901,0.23271604938271612,0.31234567901234567
pets,3669,91,4,4,76.80763983628923,96.58935879945429,75.85266030013642,96.72578444747613,0.19781718963165074,0.20873124147339706
imagenet,10000,250,362,1,65.7,60.8,65.7,60.45,-0.049000000000000044,-0.05249999999999999
