dataset,confidence_bucket,n,clip_acc,tda_acc,ft_acc,tda_gain,ft_gain,tda_cr,ft_cr,tda_bfp,ft_bfp
caltech,low,814,91.27764127764128,91.15479115479116,91.4004914004914,-0.12285012285011554,0.12285012285012664,1.1056511056511056,0.6142506142506142,44.44444444444444,60.0
caltech,mid,837,93.54838709677419,93.6678614097969,93.3094384707288,0.11947431302270495,-0.2389486260453988,0.955794504181601,0.23894862604540024,57.14285714285714,0.0
caltech,high,814,95.82309582309583,95.94594594594594,96.1916461916462,0.12285012285011554,0.3685503685503688,0.36855036855036855,0.36855036855036855,66.66666666666666,100.0
dtd,low,621,20.611916264090176,22.383252818035427,26.247987117552334,1.771336553945249,5.636070853462158,26.73107890499195,34.78260869565217,58.46153846153847,71.08433734939759
dtd,mid,638,37.61755485893417,39.18495297805642,40.28213166144201,1.5673981191222541,2.6645768025078342,7.836990595611286,12.38244514106583,75.0,69.76744186046511
dtd,high,621,73.75201288244766,74.07407407407408,73.26892109500805,0.32206119162641045,-0.48309178743960457,1.1272141706924315,1.7713365539452495,66.66666666666666,33.33333333333333
eurosat,low,2673,17.096894874672653,33.595211372989155,48.410026187803965,16.498316498316502,31.313131313131315,72.24092779648336,65.91844369622147,76.28128724672229,87.2
eurosat,mid,2754,47.930283224400874,48.76543209876543,50.43572984749455,0.8351488743645608,2.5054466230936767,38.81626724763979,23.3841684822077,51.71385991058122,58.35351089588377
eurosat,high,2673,80.28432472876918,77.77777777777779,79.46127946127946,-2.506546950991395,-0.8230452674897082,14.777403666292555,3.778526000748223,40.2332361516035,38.297872340425535
pets,low,1211,78.61271676300578,79.27332782824112,79.10817506193229,0.6606110652353392,0.49545829892649884,2.8901734104046244,3.7159372419488026,66.66666666666666,60.0
pets,mid,1247,91.17882919005613,91.41940657578188,91.49959903769046,0.24057738572574872,0.3207698476343279,0.6415396952686447,0.6415396952686447,71.42857142857143,83.33333333333334
pets,high,1211,95.29314616019818,95.29314616019818,95.21056977704376,0.0,-0.08257638315442017,0.0,0.08257638315441783,0.0,0.0
imagenet,low,3300,41.303030303030305,41.6969696969697,42.21212121212121,0.3939393939393965,0.9090909090909094,7.0606060606060606,8.272727272727273,57.14285714285714,61.904761904761905
imagenet,mid,3400,64.79411764705883,65.44117647058823,65.08823529411765,0.6470588235294117,0.2941176470588225,3.0,1.9411764705882355,67.1875,60.0
imagenet,high,3300,80.87878787878789,80.93939393939394,80.78787878787878,0.060606060606060996,-0.09090909090909705,1.606060606060606,0.6969696969696969,52.63157894736842,42.10526315789473
