dataset,disagreement_rate,tda_wins_disagreement,ft_wins_disagreement
caltech,0.8113590263691683,45.0,50.0
dtd,14.202127659574467,16.479400749063668,26.217228464419474
eurosat,30.901234567901238,22.812624850179784,42.269276867758684
pets,1.062959934587081,43.58974358974359,38.46153846153847
imagenet,5.6000000000000005,25.178571428571427,25.178571428571427
