dataset,n_samples,n_classes,mean_norm_entropy,pct_in_medium_band,tda_neg_eff_rate,freetta_eff_rate,freetta_information_ratio,freetta_minus_tda_acc,cum_tda_neg_final,cum_freetta_final
caltech,2465,100,0.9999204164979293,0.0,0.0,0.04979895663757995,49798.956637579955,0.00040567951318459805,0.0,122.75442811163487
dtd,1880,47,0.9999558902842811,0.0,0.0,0.049793657142720694,49793.657142720695,0.013829787234042545,0.0,93.61207542831498
eurosat,8100,10,0.9999253913896107,0.0,0.0,0.04979821403951997,49798.214039519975,0.06012345679012343,0.0,403.36553372011167
pets,3669,37,0.9996971824169418,0.0,0.0,0.049832321025664886,49832.32102566489,-0.0005451076587625892,0.0,182.83478584316444
imagenet,10000,1000,0.999937476838753,0.0,0.0,0.04979640787611646,49796.407876116464,0.0,0.0,497.96407876116416
