dataset,pca_var_ratio,mean_drift,max_drift,tda_l1_div_from_clip,ft_l1_div_from_clip
caltech,0.4474714398384094,1.0727196233842,1.135254144668579,1.9465465545654297,1.9130947589874268
dtd,0.6846573352813721,1.1408001297728179,1.1606860160827637,1.5142253637313843,1.5345404148101807
eurosat,0.8502371907234192,1.1296357015731895,1.1475331783294678,1.320947527885437,1.418676495552063
pets,0.5869519114494324,0.9910611644423798,1.12231183052063,1.835909128189087,1.8413342237472534
imagenet,0.41936957836151123,1.0270849015641959,1.1322022676467896,1.9110627174377441,1.9177165031433105
