dataset,n_lo,lo_clip,lo_tda,lo_ft,n_mi,mi_clip,mi_tda,mi_ft,n_hi,hi_clip,hi_tda,hi_ft,corr_ent_clip_acc,corr_ent_ft_gain,mean_em,std_em
caltech,0,,,,0,,,,2465,93.54969574036511,93.59026369168357,93.63083164300204,0.07618874667173627,-0.0032965052390192726,0.8256331471204659,0.20977613079130183
dtd,0,,,,0,,,,1880,43.93617021276596,45.159574468085104,46.54255319148936,-0.261121098695621,0.07096171544871709,0.46472899513686355,0.1924598723905704
eurosat,0,,,,0,,,,8100,48.432098765432094,53.333333333333336,59.34567901234568,-0.4331505547361282,0.35808297441308873,0.1977671800237327,0.18645740369207733
pets,0,,,,0,,,,3669,88.3892068683565,88.68901608067593,88.63450531479967,0.027943556503305086,0.009647612582014749,0.6503743907087046,0.25918262264728964
imagenet,0,,,,0,,,,10000,62.35000000000001,62.72,62.72,-0.0736701830362169,0.010770866436006481,0.5325583774225546,0.26706881431939306
