dataset,early_drift,late_drift,drift_log_corr,convergence_ratio,final_prior_entropy,final_sigma_trace
caltech,0.9495710478369872,1.1321624676128486,0.9415079107017821,1.1922883181745942,3.677393913269043,0.3565910339355468
dtd,1.0854988886003798,1.1603272090566918,0.7491980811791521,1.0689344975311712,2.0832130908966064,0.3265364626620678
eurosat,1.0941673203309377,1.1396652805069347,0.7266522899315392,1.0415822693025012,0.716778039932251,0.3482443332672119
pets,0.7103600308802812,1.1211627310988947,0.9779432760912309,1.5783021036664253,2.5880823135375977,0.3704641703012827
imagenet,0.7842351690247655,1.1290764262676238,0.9722801200996853,1.4397166447810357,3.965259552001953,0.3641141357421875
