method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.00537109375,0.002804962229754897,0.17407765595569782,0.005615234375,0.00439453125
tda,entropy,1.667548656463623,0.8652869631489845,-0.707569111911545,1.3614234924316406,2.8920493125915527
tda,jsd_clip_fused,0.1471780830062926,0.0725124784142,-0.15834249791096736,0.14143717952538282,0.17014169692993164
tda,pred_confidence,0.5050330474972725,0.18548222875626583,0.3603806346912237,0.5384551491588354,0.3713446408510208
freetta,em_weight,0.27280508194717157,0.3870574614675156,0.23493934644832987,0.3031167576255476,8.417883612388266e-10
freetta,entropy,1.3473313560709357,1.3897895004711913,-0.5121280921775777,1.1100812742693558,3.4825820922851562
freetta,mu_drift_from_init,0.008153651486978752,0.004920917326614381,0.19260391231646284,0.008469580796742685,0.005310287699103355
freetta,mu_update_norm,0.0018105912986140283,0.0024808200294752203,0.2432755383219023,0.0020117655746641422,2.2814163003204158e-08
freetta,pred_confidence,0.6920673385262489,0.33521301947215293,0.5518564199078686,0.7537304908037186,0.13709896802902222
freetta,weight,0.27280508194717157,0.3870574614675156,0.23493934644832987,0.3031167576255476,8.417883612388266e-10
