dataset,samples,clip_acc,tda_acc,freetta_acc,tda_gain_vs_clip,freetta_gain_vs_clip,freetta_minus_tda,tda_final_positive_cache_size,tda_final_negative_cache_size,freetta_final_mu_drift,freetta_final_prior_entropy
caltech,2465,0.9407707910750507,0.9423935091277891,0.9432048681541582,0.0016227180527383367,0.002434077079107505,0.0008113590263690851,300,61,1.1318230628967285,4.604432106018066
dtd,1880,0.47074468085106386,0.47393617021276596,0.4819148936170213,0.0031914893617021275,0.011170212765957447,0.007978723404255317,137,129,0.4228750169277191,3.8501040935516357
eurosat,8100,0.5954320987654321,0.5803703703703704,0.6218518518518519,-0.015061728395061728,0.026419753086419754,0.04148148148148145,30,30,0.18682394921779633,2.302798271179199
pets,3669,0.8994276369582993,0.8863450531479967,0.890160806759335,-0.013082583810302535,-0.009266830198964295,0.003815753611338235,111,100,1.2248830795288086,3.6100120544433594
