dataset,oracle_centroid_acc,oracle_leave_one_out_1nn_acc
caltech,0.974442183971405,0.9188640973630832
dtd,0.7319148778915405,0.6361702127659574
eurosat,0.7820987701416016,0.8983950617283951
pets,0.9146906733512878,0.8345598255655492
