dataset,difficulty_bin,samples,clip_acc,tda_acc,freetta_acc,freetta_minus_tda
caltech,hard,2465,0.9407707910750507,0.9423935091277891,0.9432048681541582,0.0008113590263690851
dtd,hard,1880,0.47074468085106386,0.47393617021276596,0.4819148936170213,0.007978723404255317
eurosat,easy,5371,0.6136659839880841,0.6339601563954571,0.63526345187116,0.001303295475702848
eurosat,medium,2729,0.5595456211066324,0.474899230487358,0.5954562110663246,0.12055698057896663
pets,medium,2642,0.9004542013626041,0.886449659348978,0.8894776684330054,0.003028009084027339
pets,hard,1027,0.8967867575462513,0.8860759493670886,0.8919182083739046,0.0058422590068160085
