dataset,tda_mean_positive_cache_size,tda_mean_negative_cache_size,tda_fallback_rate,tda_negative_gate_rate,tda_accuracy_when_negative_cache_active,tda_clip_conf_correct,tda_clip_conf_wrong,freetta_mean_em_weight,freetta_mean_mu_update_norm,freetta_final_mu_drift,freetta_weight_correct,freetta_weight_wrong,freetta_mu_update_correct,freetta_mu_update_wrong
caltech,135.04137931034484,33.04787018255578,0.04989858012170385,0.049087221095334685,0.9423701298701299,0.9297363946420388,0.6511027829747804,0.01000423371738945,0.0010332433984904885,1.1318230628967285,0.010004208671950525,0.010004649650571601,0.0010485060249645543,0.0007797747802604655
dtd,116.1,93.83829787234042,0.0601063829787234,0.4968085106382979,0.47393617021276596,0.5945870577285587,0.32411601297233417,0.00045285020206257346,0.0002964474926479755,0.4228750169277191,0.0004528649233882449,0.00045283650850912546,0.00029389496271294967,0.00029882181720766076
eurosat,28.794691358024693,26.26222222222222,0.21728395061728395,0.4865432098765432,0.58051370708817,0.5554377526913367,0.37806727093400305,3.1641063602072804e-05,2.6175378175757043e-05,0.18682394921779633,3.16413187260467e-05,3.164064405931847e-05,2.6031087751894298e-05,2.6412658902167962e-05
pets,74.85064050149904,66.98582720087217,0.0,0.11583537748705369,0.8862210095497953,0.8822120069990079,0.5742009932831894,0.6969929136382556,0.0011750136919951965,1.2248830795288086,0.6969929230373766,0.6969928374657264,0.001194647028765909,0.0010159008436251048
