dataset,disagreement_samples,disagreement_rate,tda_acc_on_disagreement,freetta_acc_on_disagreement,freetta_wins_on_disagreement,tda_wins_on_disagreement
caltech,33,0.013387423935091278,0.3939393939393939,0.45454545454545453,15,13
dtd,282,0.15,0.17375886524822695,0.22695035460992907,64,49
eurosat,950,0.11728395061728394,0.16736842105263158,0.5210526315789473,495,159
pets,279,0.07604251839738348,0.3906810035842294,0.44086021505376344,123,109
