dataset,tda_mean,tda_std,freetta_mean,freetta_std,freetta_better_seeds,tda_better_seeds
caltech,0.9421501014198783,0.0015340909047618142,0.944421906693712,0.000641435630865819,5,0
dtd,0.47521276595744677,0.003376717074064655,0.47765957446808505,0.0016820625851959444,4,1
eurosat,0.625925925925926,0.004779069592801456,0.619283950617284,0.0023528156542363806,0,5
pets,0.8879803761242846,0.003771695967047704,0.9009539384028346,0.0015369716195008517,5,0
