method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.00537109375,0.002804962229754897,-0.2901294265928297,0.0029296875,0.005642361111111111
tda,entropy,1.755874913930893,0.569824427543202,-0.6157813109763044,0.7032132148742676,1.8728373249371846
tda,jsd_clip_fused,0.14795370027422905,0.055884809572776806,0.2444637125596507,0.18893912434577942,0.143399764266279
tda,pred_confidence,0.48573007583618166,0.12368196471978125,0.16905699620226766,0.5484579801559448,0.4787603086895413
freetta,em_weight,0.08554439355144297,0.2536707579158796,0.26828895930783153,0.14111275332808107,0.002191853886485795
freetta,entropy,1.957467544078827,0.9276711592839733,-0.23597481760339864,1.778730700413386,2.225572809576988
freetta,mu_drift_from_init,0.009680981299607084,0.004751160593620188,0.10205363115787873,0.010076878602073217,0.009087135345907882
freetta,mu_update_norm,0.0012060413524463095,0.003557871905075104,0.2665254689633935,0.0019802952400615977,4.466052102337697e-05
freetta,pred_confidence,0.5170745760202408,0.2589052856776937,0.3385322363452071,0.5886386930942535,0.40972840040922165
freetta,weight,0.08554439355144297,0.2536707579158796,0.26828895930783153,0.14111275332808107,0.002191853886485795
