method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.01513671875,0.008452579539452333,0.07060426839628557,0.016927083333333332,0.014937789351851851
tda,entropy,1.8382719178994498,0.502331177943166,-0.4740378543019341,1.1238999366760254,1.91764658247983
tda,jsd_clip_fused,0.15504926467935246,0.04440436176940806,0.07313517811430417,0.16479182740052542,0.15396675771033322
tda,pred_confidence,0.4706109642982483,0.09224131412283515,0.14158486902753872,0.5097908874352773,0.46625763950524507
freetta,em_weight,0.0289128952733129,0.15183799457990801,0.18652797684269143,0.05723492921015468,0.0005908613364711194
freetta,entropy,2.1107778469721477,0.8404653674828948,-0.5480831815444395,1.650132914384206,2.571422779560089
freetta,mu_drift_from_init,0.011340126835663492,0.0029845964103826527,0.0045081893448861935,0.011353581961399566,0.01132667170992742
freetta,mu_update_norm,0.0004101057972407607,0.002130002159947403,0.18688358998259935,0.0008081682475624222,1.2043346919099127e-05
freetta,pred_confidence,0.47343928664922713,0.25179266592097127,0.6350841451203637,0.6333488166332245,0.3135297566652298
freetta,weight,0.0289128952733129,0.15183799457990801,0.18652797684269143,0.05723492921015468,0.0005908613364711194
