dataset,N,clip_acc,tda_acc,freetta_acc,tda_gain,freetta_gain,freetta_minus_tda
Caltech-101,2465,93.54969574036511,93.59026369168357,93.63083164300204,0.040567951318459805,0.08113590263691961,0.040567951318459805
DTD,1880,43.93617021276596,45.159574468085104,46.54255319148936,1.2234042553191493,2.6063829787234036,1.3829787234042545
EuroSAT,8100,48.432098765432094,53.333333333333336,59.34567901234568,4.901234567901236,10.913580246913579,6.012345679012343
Oxford Pets,3669,88.3892068683565,88.68901608067593,88.63450531479967,0.29980921231943514,0.24529844644317622,-0.054510765876258915
ImageNetV2,10000,62.35000000000001,62.72,62.72,0.36999999999999256,0.36999999999999256,0.0
