dataset,N_total,N_disagree,disagree_rate,clip_acc_D,tda_acc_D,freetta_acc_D,tda_wins_D,freetta_wins_D,both_right_D,both_wrong_D
caltech,2465,20,0.8113590263691683,45.0,45.0,50.0,9,10,0,1
dtd,1880,267,14.202127659574467,15.730337078651685,16.479400749063668,26.217228464419474,44,70,0,153
eurosat,8100,2503,30.901234567901238,25.769077107471034,22.812624850179784,42.269276867758684,571,1058,0,874
pets,3669,39,1.062959934587081,30.76923076923077,43.58974358974359,38.46153846153847,17,15,0,7
imagenet,10000,560,5.6000000000000005,21.607142857142858,25.178571428571427,25.178571428571427,141,141,0,278
