dataset,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score
caltech,0.974442183971405,0.9184584178498986,0.05598376612150646
dtd,0.7319148778915405,0.6361702127659574,0.0957446651255831
eurosat,0.7825925946235657,0.8980246913580247,-0.11543209673445898
imagenet,0.8271999955177307,0.4189,0.4082999955177307
pets,0.9149631857872009,0.8345598255655492,0.08040336022165173
