dataset,disagreement_rate,tda_acc_on_disagreement,freetta_acc_on_disagreement,avg_clip_entropy_on_disagreement
caltech,0.011764705882352941,0.3793103448275862,0.5862068965517241,4.604809892588649
dtd,0.12393617021276596,0.2317596566523605,0.13304721030042918,3.8499999926325588
eurosat,0.4022222222222222,0.3170656844689994,0.24462860650705956,2.3024645863756072
imagenet,0.0366,0.2896174863387978,0.19398907103825136,6.9073365542406595
pets,0.05342055055873535,0.413265306122449,0.37244897959183676,3.6098904269082204
