dataset,samples,clip_acc,tda_acc,freetta_acc,tda_gain_vs_clip,freetta_gain_vs_clip,freetta_minus_tda,tda_final_positive_cache_size,tda_final_negative_cache_size,freetta_final_mu_drift,freetta_final_prior_entropy,freetta_final_sigma_trace
caltech,2465,0.9354969574036511,0.9359026369168357,0.9363083164300203,0.00040567951318458417,0.0008113590263691683,0.00040567951318459805,300,86,1.1342723369598389,3.677393913269043,0.35659103393554686
dtd,1880,0.43936170212765957,0.45159574468085106,0.4654255319148936,0.01223404255319149,0.026063829787234042,0.013829787234042545,135,57,1.1605278253555298,2.0832130908966064,0.3265364626620678
eurosat,8100,0.48432098765432097,0.5333333333333333,0.5934567901234568,0.049012345679012345,0.1091358024691358,0.06012345679012343,30,18,1.1416447162628174,0.716778039932251,0.34824433326721194
imagenet,10000,0.6235,0.6272,0.6272,0.0037,0.0037,0.0,2968,1675,1.1276530027389526,3.965259552001953,0.3641141357421875
pets,3669,0.883892068683565,0.8868901608067593,0.8863450531479967,0.002998092123194331,0.0024529844644317253,-0.0005451076587625892,111,70,1.1220039129257202,2.5880823135375977,0.3704641703012827
