dataset,tda_mean_positive_cache_size,tda_mean_negative_cache_size,tda_negative_gate_rate,tda_cache_pressure_ratio,freetta_mean_em_weight,freetta_mean_mu_update_norm,freetta_final_mu_drift,freetta_final_prior_entropy,freetta_final_sigma_trace,geometry_alignment_score,oracle_centroid_acc,oracle_1nn_acc
caltech,136.10872210953346,42.61663286004057,0.0,4.93,0.8256331471204659,0.0016855418929362879,1.1342723369598389,3.677393913269043,0.35659103393554686,0.05598376612150646,0.974442183971405,0.9184584178498986
dtd,112.9,38.70585106382979,0.0,8.0,0.46472899513686355,0.0020680447047352764,1.1605278253555298,2.0832130908966064,0.3265364626620678,0.0957446651255831,0.7319148778915405,0.6361702127659574
eurosat,29.161604938271605,11.903580246913581,0.0,162.0,0.1977671800237327,0.0003826251041856368,1.1416447162628174,0.716778039932251,0.34824433326721194,-0.11543209673445898,0.7825925946235657,0.8980246913580247
imagenet,1685.0134,912.3014,0.0,2.0,0.5325583774225546,0.000473976927581225,1.1276530027389526,3.965259552001953,0.3641141357421875,0.4082999955177307,0.8271999955177307,0.4189
pets,76.06186971926955,49.632869991823384,0.0,19.832432432432434,0.6503743907087046,0.0009891907267946993,1.1220039129257202,2.5880823135375977,0.3704641703012827,0.08040336022165173,0.9149631857872009,0.8345598255655492
