method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.9192220633571511,0.21784603861115978,-0.01952569940859866,0.9171316365449278,0.9278772724748223
tda,entropy,1.4609949446925234,1.1092856059808716,-0.6224956989299913,1.1216366774944775,2.8660748791991253
tda,jsd_clip_fused,0.048489579267247424,0.037291685379748585,-0.3874115775234352,0.041389498197148815,0.07788677511968771
tda,pred_confidence,0.653988771677237,0.28410758827297444,0.6498791520638156,0.7447278031865864,0.278292627590245
freetta,em_weight,0.19136852444599797,0.2839608686164169,0.45200500902177887,0.2811558658003224,0.007888675014116463
freetta,entropy,1.1085589023847142,1.2188376430527887,-0.7372332589042061,0.4799737093389382,2.3930686655150866
freetta,mu_drift_from_init,0.6991329746739027,0.1477915971473264,-0.0666845405006778,0.6922387048918324,0.7132213702369827
freetta,mu_update_norm,0.00014988813949236483,0.0004642519815737022,0.20731220487160537,0.00021721556456154404,1.230498324787578e-05
freetta,pred_confidence,0.8907233346388872,0.22687175678822927,0.5470219724524381,0.9775390950825424,0.7133158915155146
freetta,weight,0.19136852444599797,0.2839608686164169,0.45200500902177887,0.2811558658003224,0.007888675014116463
