bin_index,entropy_min,entropy_max,count,accuracy
0,0.00015213328879326582,0.4214879237067645,3690,0.9791327913279133
1,0.4214879237067645,0.8428237141247358,1617,0.7408781694495981
2,0.8428237141247358,1.264159504542707,799,0.6307884856070087
3,1.264159504542707,1.6854952949606783,411,0.5620437956204379
4,1.6854952949606783,2.1068310853786496,236,0.4830508474576271
5,2.1068310853786496,2.5281668757966207,208,0.39903846153846156
6,2.5281668757966207,2.9495026662145922,315,0.13015873015873017
7,2.9495026662145922,3.3708384566325633,554,0.030685920577617327
8,3.3708384566325633,3.7921742470505344,745,0.026845637583892617
9,3.7921742470505344,4.213510037468506,102,0.049019607843137254
