step,tda_running_acc,freetta_running_acc
1,1.0,1.0
2,1.0,1.0
3,0.6666666666666666,0.6666666666666666
4,0.75,0.75
5,0.8,0.8
6,0.8333333333333334,0.8333333333333334
7,0.8571428571428571,0.8571428571428571
8,0.875,0.875
9,0.8888888888888888,0.8888888888888888
10,0.9,0.9
11,0.9090909090909091,0.9090909090909091
12,0.8333333333333334,0.8333333333333334
13,0.8461538461538461,0.8461538461538461
14,0.8571428571428571,0.8571428571428571
15,0.8666666666666667,0.8666666666666667
16,0.875,0.875
17,0.8823529411764706,0.8823529411764706
18,0.8888888888888888,0.8888888888888888
19,0.8421052631578947,0.8421052631578947
20,0.85,0.85
21,0.8571428571428571,0.8571428571428571
22,0.8636363636363636,0.8636363636363636
23,0.8695652173913043,0.8695652173913043
24,0.875,0.875
25,0.88,0.88
26,0.8846153846153846,0.8846153846153846
27,0.8518518518518519,0.8518518518518519
28,0.8214285714285714,0.8214285714285714
29,0.8275862068965517,0.8275862068965517
30,0.8333333333333334,0.8333333333333334
31,0.8064516129032258,0.8064516129032258
32,0.8125,0.8125
33,0.8181818181818182,0.8181818181818182
34,0.7941176470588235,0.7941176470588235
35,0.8,0.8
36,0.8055555555555556,0.8055555555555556
37,0.7837837837837838,0.7837837837837838
38,0.7631578947368421,0.7631578947368421
39,0.7692307692307693,0.7692307692307693
40,0.775,0.775
41,0.7560975609756098,0.7560975609756098
42,0.7380952380952381,0.7380952380952381
43,0.7441860465116279,0.7441860465116279
44,0.75,0.75
45,0.7555555555555555,0.7555555555555555
46,0.7608695652173914,0.7608695652173914
47,0.7659574468085106,0.7659574468085106
48,0.75,0.75
49,0.7551020408163265,0.7551020408163265
50,0.76,0.76
51,0.7647058823529411,0.7647058823529411
52,0.75,0.75
53,0.7547169811320755,0.7547169811320755
54,0.7592592592592593,0.7592592592592593
55,0.7636363636363637,0.7636363636363637
56,0.7678571428571429,0.7678571428571429
57,0.7719298245614035,0.7719298245614035
58,0.7758620689655172,0.7758620689655172
59,0.7796610169491526,0.7796610169491526
60,0.7833333333333333,0.7833333333333333
61,0.7868852459016393,0.7868852459016393
62,0.7903225806451613,0.7903225806451613
63,0.7936507936507936,0.7936507936507936
64,0.796875,0.796875
65,0.8,0.8
66,0.7878787878787878,0.7878787878787878
67,0.7761194029850746,0.7761194029850746
68,0.7794117647058824,0.7794117647058824
69,0.782608695652174,0.782608695652174
70,0.7714285714285715,0.7714285714285715
71,0.7746478873239436,0.7746478873239436
72,0.7777777777777778,0.7777777777777778
73,0.7808219178082192,0.7808219178082192
74,0.7837837837837838,0.7837837837837838
75,0.7866666666666666,0.7866666666666666
76,0.7894736842105263,0.7894736842105263
77,0.7922077922077922,0.7922077922077922
78,0.7948717948717948,0.7948717948717948
79,0.7848101265822784,0.7848101265822784
80,0.7875,0.7875
81,0.7901234567901234,0.7901234567901234
82,0.7804878048780488,0.7804878048780488
83,0.7831325301204819,0.7831325301204819
84,0.7857142857142857,0.7857142857142857
85,0.788235294117647,0.788235294117647
86,0.7906976744186046,0.7906976744186046
87,0.7816091954022989,0.7816091954022989
88,0.7840909090909091,0.7840909090909091
89,0.7865168539325843,0.7865168539325843
90,0.7777777777777778,0.7777777777777778
91,0.7802197802197802,0.7802197802197802
92,0.7717391304347826,0.7717391304347826
93,0.7741935483870968,0.7741935483870968
94,0.7659574468085106,0.7659574468085106
95,0.7684210526315789,0.7684210526315789
96,0.7708333333333334,0.7708333333333334
97,0.7731958762886598,0.7731958762886598
