bucket,count,rate
clip_wrong_tda_wrong_freetta_correct,2,0.0005451076587626056
clip_wrong_tda_correct_freetta_wrong,22,0.005996184246388662
clip_correct_tda_wrong_freetta_correct,11,0.002998092123194331
clip_correct_tda_correct_freetta_wrong,5,0.001362769146906514
all_wrong,397,0.10820387026437721
