method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.01044921875,0.006478518863524213,-0.11460095452285975,0.0101171875,0.012109375
tda,entropy,1.2090692748626073,1.1916694874193925,-0.4481838485894638,0.9702182996273041,2.4033241510391234
tda,jsd_clip_fused,0.0007207777834082662,0.0007306601665696491,0.18463450818219426,0.0007811091695111828,0.00041912085289368405
tda,pred_confidence,0.7071887741486231,0.29393219731395437,0.5123955533881122,0.7745434129238129,0.37041558027267457
freetta,em_weight,0.19906429528678285,0.3097223182006737,0.2871342179411053,0.23883583913532624,0.00020657604406591968
freetta,entropy,1.1874885711818934,1.1986757554503764,-0.44800219698954147,0.9473306791484356,2.388278031349182
freetta,mu_drift_from_init,0.021314560532397546,0.012580287681475137,-0.12498099356846862,0.02061140800321283,0.024830323178321123
freetta,mu_update_norm,0.0013373096782278936,0.002034787019055111,0.2934853250498695,0.0016043767511897667,1.97431341852905e-06
freetta,pred_confidence,0.711801299949487,0.29434932275854225,0.5147729324847367,0.7795644742250443,0.372985428571701
freetta,weight,0.19906429528678285,0.3097223182006737,0.2871342179411053,0.23883583913532624,0.00020657604406591968
