dataset,method,subset,samples,mean_entropy,median_entropy,std_entropy,mean_confidence,median_confidence,std_confidence
dtd,clip,all,1880,3.849977772793871,3.8499865531921387,6.227906960636049e-05,0.022322672759083673,0.02223564311861992,0.0004028863468311386
dtd,clip,correct,826,3.8499600347537393,3.8499696254730225,6.389781445816877e-05,0.022537723364033365,0.02248433232307434,0.00043695807741217664
dtd,clip,wrong,1054,3.849991673762703,3.8499999046325684,5.726084325813123e-05,0.022154141639834677,0.022105662152171135,0.0002743117753207356
dtd,tda,all,1880,1.5548104122334327,1.6180472373962402,0.9847171841404385,0.5924735404115091,0.5823416411876678,0.28718623863155557
dtd,tda,correct,849,1.0857282317700403,0.8612215518951416,0.9265074137703895,0.7307290392889432,0.8237729668617249,0.25943894390159056
dtd,tda,wrong,1031,1.9410866209758386,2.096247673034668,0.8549130004749491,0.4786239588916822,0.41917115449905396,0.25741753576212195
dtd,freetta,all,1880,1.5375258416377233,1.6347675919532776,0.9695754457205235,0.5787822004685059,0.545698344707489,0.2878172669768952
dtd,freetta,correct,875,1.081399649390984,0.8721970319747925,0.94332766797197,0.7157502041033336,0.8100355267524719,0.2730092906806575
dtd,freetta,wrong,1005,1.9346506358823965,2.1343724727630615,0.803084131833658,0.45953145103519827,0.39986252784729004,0.24395689495206796
