dataset,sample_index,stream_step,progress_ratio,rolling_clip_acc,rolling_tda_acc,rolling_freetta_acc,rolling_clip_confidence,rolling_tda_confidence,rolling_freetta_confidence,rolling_clip_entropy,rolling_tda_entropy,rolling_freetta_entropy,rolling_tda_vs_clip,rolling_freetta_vs_clip,rolling_freetta_vs_tda
dtd,0,0,0.0005319148936170213,0.0,0.0,0.0,0.0223636906594038,0.8944181203842163,0.7340577840805054,3.8499889373779297,0.6487000584602356,1.2736387252807617,0.0,0.0,0.0
dtd,1,1,0.0010638297872340426,0.0,0.0,0.0,0.022449699230492115,0.9401742815971375,0.8635503053665161,3.8499886989593506,0.38169413059949875,0.6601928509771824,0.0,0.0,0.0
dtd,2,2,0.0015957446808510637,0.0,0.0,0.0,0.022256426513195038,0.7907655040423075,0.8423370917638143,3.850010712941488,0.8244906216859818,0.6798483952879906,0.0,0.0,0.0
dtd,3,3,0.002127659574468085,0.25,0.25,0.25,0.022325655911117792,0.812730997800827,0.8541302382946014,3.8499929904937744,0.7808019779622555,0.6181646529585123,0.0,0.0,0.0
dtd,4,4,0.0026595744680851063,0.2,0.2,0.2,0.02226988449692726,0.7466675817966462,0.8168998003005982,3.850000190734863,0.9480649203062057,0.7467209056019783,0.0,0.0,0.0
dtd,5,5,0.0031914893617021275,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02229751894871394,0.7870553284883499,0.8394002417723337,3.8499955336252847,0.8052696002026399,0.6694158278405666,0.0,0.0,0.0
dtd,6,6,0.003723404255319149,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.022294230493051664,0.8038132062980107,0.7994960120746067,3.8499957493373325,0.7618866658636502,0.7883883853043828,0.0,0.0,0.0
dtd,7,7,0.00425531914893617,0.125,0.125,0.125,0.022329178173094988,0.8276430629193783,0.8198334351181984,3.8499955534934998,0.6727527896873653,0.7191519951447845,0.0,0.0,0.0
dtd,8,8,0.0047872340425531915,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.022267233373390302,0.7853286233213213,0.7539432893196741,3.8500053617689343,0.8204393316474226,0.8767496140466796,0.0,0.0,0.0
dtd,9,9,0.005319148936170213,0.1,0.1,0.1,0.022296216897666456,0.8058510750532151,0.7594214662909508,3.8500009059906004,0.7461204346269369,0.8641992263495922,0.0,0.0,0.0
dtd,10,10,0.005851063829787234,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.022284117781303146,0.816723571582274,0.7420050325718793,3.85000298239968,0.7219374284825542,0.9311306632377885,0.0,0.0,0.0
dtd,11,11,0.006382978723404255,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.022284936780730884,0.8269124055902163,0.7348042813440164,3.8500015139579773,0.695080692258974,0.9673931940148274,0.0,0.0,0.0
dtd,12,12,0.006914893617021276,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.02226586897785847,0.8202541539302239,0.7104182621607413,3.8500044712653527,0.7319971182598517,1.034553467654265,0.0,0.0,0.0
dtd,13,13,0.007446808510638298,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.022273324163896695,0.8292892341102872,0.7073598131537437,3.8500019993100847,0.7035155016928911,1.0542812129216534,0.0,0.0,0.0
dtd,14,14,0.007978723404255319,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.022255984942118327,0.8291923344135285,0.6833902051051458,3.8500046253204347,0.7182220675051212,1.1139290764927865,0.0,0.0,0.0
dtd,15,15,0.00851063829787234,0.0625,0.0625,0.0625,0.02228894631844014,0.8396094646304846,0.6981426710262895,3.8500007688999176,0.6756899647880346,1.0725156399421394,0.0,0.0,0.0
dtd,16,16,0.009042553191489361,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.02230174620361889,0.8462799734929028,0.6888650033403846,3.849999890607946,0.6523870293270139,1.090314587687745,0.0,0.0,0.0
dtd,17,17,0.009574468085106383,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.022291104309260845,0.8463962856266234,0.6768503247035874,3.8500001298056707,0.6647727284580469,1.1349071094559298,0.0,0.0,0.0
dtd,18,18,0.010106382978723405,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.02229941812785048,0.8434271639899203,0.6716119796037674,3.8499978467037805,0.6645361116450084,1.1496236539985005,0.0,0.0,0.0
dtd,19,19,0.010638297872340425,0.05,0.05,0.05,0.022324998397380114,0.8511542484164238,0.6859914593398571,3.8499952077865602,0.6322985674254596,1.1053191181272268,0.0,0.0,0.0
dtd,20,20,0.011170212765957447,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.022310558795219378,0.8446451695192427,0.6681636834428424,3.849997429620652,0.6727751233570632,1.1467706188559532,0.0,0.0,0.0
dtd,21,21,0.011702127659574468,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.022320591759952633,0.8512756783853878,0.6737371716987003,3.849999286911704,0.6459710539572618,1.1340267654847016,0.0,0.0,0.0
dtd,22,22,0.01223404255319149,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.022329150415633037,0.8565372112004653,0.6788947925619457,3.8500005576921548,0.6268572848614143,1.1211036777366763,0.0,0.0,0.0
dtd,23,23,0.01276595744680851,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.022318389810000856,0.8569698520004749,0.6689057977249225,3.850003272294998,0.6330542082432657,1.1419899535054963,0.0,0.0,0.0
dtd,24,24,0.013297872340425532,0.04,0.04,0.04,0.022335088178515435,0.8625029766559601,0.6775615364313126,3.8500028705596923,0.6094963843375445,1.117076766192913,0.0,0.0,0.0
dtd,25,25,0.013829787234042552,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.022337326135199804,0.8659770866999259,0.6781119136856153,3.850004086127648,0.5981376544357493,1.1123074083947218,0.0,0.0,0.0
dtd,26,26,0.014361702127659574,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.022333721457808105,0.8684760718433945,0.6771135401946528,3.850005785624186,0.5932310991403129,1.1177303103937044,0.0,0.0,0.0
dtd,27,27,0.014893617021276596,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.022332614354257072,0.8708121340189662,0.6732544499848571,3.850006239754813,0.5869981737674347,1.1171240356883831,0.0,0.0,0.0
dtd,28,28,0.015425531914893617,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.022351550773299974,0.8751781058722529,0.6827515307171591,3.850004459249562,0.5675956094958658,1.0883679479874413,0.0,0.0,0.0
dtd,29,29,0.015957446808510637,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.022342197162409625,0.8646821329991022,0.6687743132313092,3.8500046332677207,0.604733018266658,1.1345434037347635,0.0,0.03333333333333333,0.03333333333333333
dtd,30,30,0.01648936170212766,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.022339507096236753,0.8651841523185853,0.6658365365958983,3.8500053267325125,0.6060912495539073,1.148693316165478,0.0,0.03225806451612903,0.03225806451612903
dtd,31,31,0.01702127659574468,0.03125,0.03125,0.0625,0.022344498080201447,0.8688157806172967,0.6691031870432198,3.8500057458877563,0.5915995633113198,1.1384003467392176,0.0,0.03125,0.03125
dtd,32,32,0.017553191489361703,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.02234192124821923,0.8711853505987109,0.665759547641783,3.850007086089163,0.5848874035996922,1.1462120366367428,0.0,0.030303030303030304,0.030303030303030304
dtd,33,33,0.018085106382978722,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.02234389616505188,0.8723278860835468,0.662834425621173,3.85000680474674,0.582603032262448,1.1556671303423012,0.0,0.029411764705882353,0.029411764705882353
dtd,34,34,0.018617021276595744,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02235565786915166,0.875802480322974,0.6703133808715003,3.8500058582850865,0.5675105390271971,1.1339639372059278,0.0,0.02857142857142857,0.02857142857142857
dtd,35,35,0.019148936170212766,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.02236690532623066,0.8791965453161134,0.678193854375018,3.8500054346190558,0.55231276832314,1.1098511473586161,0.0,0.027777777777777776,0.027777777777777776
dtd,36,36,0.019680851063829788,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02237192647078553,0.8822749555110931,0.6837269667838071,3.850006058409407,0.5390253226599984,1.094480112396382,0.0,0.02702702702702703,0.02702702702702703
dtd,37,37,0.02021276595744681,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.022384859964643653,0.8852648664461938,0.6900505850973883,3.8500039138292013,0.5258180530937878,1.0764248612287797,0.0,0.02631578947368421,0.02631578947368421
dtd,38,38,0.02074468085106383,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.0223878550892457,0.8873457366075271,0.6926846492748994,3.8500035664974113,0.5181268778844521,1.0738340148176901,0.0,0.02564102564102564,0.02564102564102564
dtd,39,39,0.02127659574468085,0.025,0.025,0.05,0.022386021818965672,0.8886466510593891,0.6916857216507196,3.850003904104233,0.5154510032851249,1.0849133243784308,0.0,0.025,0.025
dtd,40,40,0.021808510638297873,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.022375759100768625,0.8794833763343531,0.6811718813529829,3.8500028994025253,0.5558434648939022,1.1171372567371625,0.0,0.024390243902439025,0.024390243902439025
dtd,41,41,0.022340425531914895,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.022367677695694425,0.8717613042820067,0.6696184394615037,3.8500016984485446,0.5885212943401366,1.1473701275175525,0.0,0.023809523809523808,0.023809523809523808
dtd,42,42,0.022872340425531913,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.022358075867212095,0.8668184897234273,0.6569639513658923,3.850003209224967,0.6169223574444999,1.192877751970014,0.0,0.023255813953488372,0.023255813953488372
dtd,43,43,0.023404255319148935,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.022347562353719364,0.8640493608333848,0.6496912186796014,3.8500048463994805,0.6345482208258049,1.2232200928371062,0.0,0.022727272727272728,0.022727272727272728
