dataset,final_clip_acc,final_tda_acc,final_ftta_acc,stability_clip,stability_tda,stability_ftta,time_to_beat_clip_tda_pct,time_to_beat_clip_ftta_pct
caltech,93.54969574036511,93.59026369168357,93.63083164300204,8.783733471789382,8.612924105716944,8.888950059646673,0.0,0.0
dtd,43.93617021276596,45.851063829787236,45.47872340425532,16.192309075468923,17.980506856861304,16.67503750855375,0.0,0.0
eurosat,48.432098765432094,53.333333333333336,59.34567901234568,34.89166717250483,19.729479103083598,17.759521490359177,0.0,0.0
pets,88.3892068683565,88.41646225129463,88.96156991005724,7.229937150223334,9.365577089731163,7.2862360105264825,0.0,0.0
imagenet,62.35000000000001,62.72,62.72,11.45537193731492,11.230551584356348,11.267823135913263,0.0,0.0
