dataset,oracle_centroid_acc,oracle_1nn_acc,GAS,mu_drift_final,cache_pressure
caltech,97.4442183971405,91.84584178498986,0.0559837661215064,1.1342723369598389,4.93
dtd,73.19148778915405,63.61702127659574,0.0957446651255831,1.1545507907867432,5.714285714285714
eurosat,78.25925946235657,89.80246913580247,-0.1154320967344589,1.1416447162628174,162.0
pets,91.49631857872008,83.45598255655491,0.0804033602216517,1.1220039129257202,19.832432432432437
imagenet,82.71999955177307,41.89,0.4082999955177307,1.1276530027389526,2.0
