dataset,n_samples,tda_total_s,ftta_total_s,tda_ms_per_sample,ftta_ms_per_sample,tda_samples_per_sec,ftta_samples_per_sec,speedup_ftta_vs_tda
caltech,2465,0.9722738657146692,0.7248113546520472,0.3944315885252208,0.2940411175059015,2535.2938990992043,3400.8849118862763,1.3414164381867595
dtd,1880,0.7051808293908834,0.3515979703515768,0.3750961858462146,0.18702019699551956,2665.9828538218976,5347.016076685862,2.005645336023257
eurosat,8100,2.8593917079269886,1.3681981172412634,0.3530113219662949,0.16891334780756337,2832.7703327755557,5920.195253836673,2.089895952855469
pets,3669,1.3989166114479303,0.7040686625987291,0.38128007943524944,0.19189661013865605,2622.743893363629,5211.139473894009,1.986903672554472
imagenet,10000,19.60673857666552,7.032010028138757,1.960673857666552,0.7032010028138757,510.02873123943493,1422.06850672635,2.788212544949266
