method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.00537109375,0.002804962229754897,-0.5222329678670935,0.0009765625,0.005859375
tda,entropy,1.6265717148780823,0.22423813626088196,0.7569097016999439,2.135755777359009,1.5699957079357572
tda,jsd_clip_fused,0.13060222417116166,0.05085034466503852,-0.856121527012025,0.0,0.14511358241240183
tda,pred_confidence,0.4435372084379196,0.08941133786856209,-0.9752034489011185,0.18195447325706482,0.4726019567913479
freetta,em_weight,0.00020308321365973824,0.0004891026641077727,-0.24186809716707006,2.237952867290005e-05,0.0002805276500826689
freetta,entropy,1.7909474134445191,0.33742260577404753,0.29886695319569584,1.9449898799260457,1.7249292135238647
freetta,mu_drift_from_init,4.4950673517973884e-05,6.98215909854683e-05,0.16223430741283765,6.225365059246239e-05,3.7535111914621666e-05
freetta,mu_update_norm,1.889526299407862e-05,4.5401242309145826e-05,-0.2418415020102426,2.1231816257720007e-06,2.608329786621003e-05
freetta,pred_confidence,0.29449065774679184,0.08487972397676576,-0.22242889549605577,0.2656514346599579,0.30685032478400637
freetta,weight,0.00020308321365973824,0.0004891026641077727,-0.24186809716707006,2.237952867290005e-05,0.0002805276500826689
