dataset,sample_index,stream_step,progress_ratio,rolling_clip_acc,rolling_tda_acc,rolling_freetta_acc,rolling_clip_confidence,rolling_tda_confidence,rolling_freetta_confidence,rolling_clip_entropy,rolling_tda_entropy,rolling_freetta_entropy,rolling_tda_vs_clip,rolling_freetta_vs_clip,rolling_freetta_vs_tda
caltech,0,0,0.00040567951318458417,1.0,1.0,1.0,0.010714368894696236,0.9975457787513733,0.010862872004508972,4.605029582977295,0.025446735322475433,4.604968070983887,0.0,0.0,0.0
caltech,1,1,0.0008113590263691683,1.0,1.0,1.0,0.010638699866831303,0.9969121217727661,0.010770881548523903,4.605005741119385,0.03174011595547199,4.604933977127075,0.0,0.0,0.0
caltech,2,2,0.0012170385395537525,1.0,1.0,1.0,0.010663127526640892,0.9977823893229166,0.010800568386912346,4.605010350545247,0.023073050503929455,4.604940573374431,0.0,0.0,0.0
caltech,3,3,0.0016227180527383367,0.75,0.75,0.75,0.010620564222335815,0.9893451780080795,0.010748877422884107,4.605000019073486,0.08059112215414643,4.604925632476807,0.0,0.0,0.0
caltech,4,4,0.002028397565922921,0.8,0.8,0.8,0.010655090026557446,0.991470468044281,0.010790853202342987,4.604999732971192,0.0645524763618596,4.604924869537354,0.0,0.0,0.0
caltech,5,5,0.002434077079107505,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.010657747741788626,0.9762517511844635,0.010794014669954777,4.604982058207194,0.16255672967721088,4.604899485905965,0.0,0.0,0.0
caltech,6,6,0.002839756592292089,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.01064814640475171,0.97022716488157,0.010782351052122456,4.604987621307373,0.2101555525940577,4.604907512664795,0.0,0.0,0.0
caltech,7,7,0.0032454361054766734,0.875,0.875,0.875,0.010658911312930286,0.9721262902021408,0.010795419802889228,4.604984223842621,0.19678003952867584,4.604902565479279,0.0,0.0,0.0
caltech,8,8,0.0036511156186612576,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.01066379083527459,0.9675405753983392,0.01080133941852384,4.604983541700575,0.22128109681135458,4.604901578691271,0.0,0.0,0.0
caltech,9,9,0.004056795131845842,0.9,0.9,0.9,0.010653839074075222,0.9598864853382111,0.01078926157206297,4.604989719390869,0.26861960781388916,4.604910469055175,0.0,0.0,0.0
caltech,10,10,0.004462474645030426,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.01065785793418234,0.9614824977788058,0.010794144293124025,4.604991739446467,0.2605377927221442,4.6049134081060235,0.0,0.0,0.0
caltech,11,11,0.00486815415821501,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.010669882486884793,0.9646758139133453,0.01080876177487274,4.6049885749816895,0.23904140796609377,4.604908744494121,0.0,0.0,0.0
caltech,12,12,0.005273833671399594,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.010650702823813144,0.9611312609452468,0.010785492351995064,4.604987657987154,0.2563092227747592,4.604907549344576,0.0,0.0,0.0
caltech,13,13,0.005679513184584178,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.010651931632310152,0.9613819973809379,0.010786972208214658,4.60498629297529,0.258192560556511,4.604905605316162,0.0,0.0,0.0
caltech,14,14,0.006085192697768763,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.01065995382765929,0.9639535586039225,0.010796722024679184,4.6049859364827475,0.24102288025508944,4.604905128479004,0.0,0.0,0.0
caltech,15,15,0.006490872210953347,0.875,0.875,0.875,0.01065849227597937,0.9600848965346813,0.010794942965731025,4.604987949132919,0.2635219352123386,4.604908049106598,0.0,0.0,0.0
caltech,16,16,0.006896551724137931,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.010651537984171334,0.9568993624518899,0.010786504265578353,4.604992249432732,0.28579800565357266,4.604914244483499,0.0,0.0,0.0
caltech,17,17,0.007302231237322515,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.01064217338959376,0.9568147891097598,0.010775141573200623,4.604994508955214,0.2856008620551115,4.604917499754164,0.0,0.0,0.0
caltech,18,18,0.007707910750507099,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.010646730318273368,0.9583716298404493,0.010780679258076768,4.604996053796065,0.2764445212945391,4.6049196845606755,0.0,0.0,0.0
caltech,19,19,0.008113590263691683,0.85,0.85,0.85,0.010645537916570903,0.9587636351585388,0.010779224429279565,4.604996180534362,0.27640911480702923,4.604919910430908,0.0,0.0,0.0
caltech,20,20,0.008519269776876268,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.01064836961172876,0.9605405756405422,0.010782660960796334,4.604996204376221,0.265077258241252,4.60491993313744,0.0,0.0,0.0
caltech,21,21,0.008924949290060852,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.010660786816680973,0.9623282958160747,0.010797773826528679,4.604993169957941,0.25310364318746986,4.604915575547651,0.0,0.0,0.0
caltech,22,22,0.009330628803245436,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.010661372267033743,0.9619877001513606,0.0107984762314869,4.604992223822552,0.2564508897510519,4.60491418838501,0.0,0.0,0.0
caltech,23,23,0.00973630831643002,0.875,0.875,0.875,0.01067637299032261,0.9635712976257006,0.010816752289732298,4.60498829682668,0.245769299922055,4.604908565680186,0.0,0.0,0.0
caltech,24,24,0.010141987829614604,0.88,0.88,0.88,0.01067472092807293,0.9614608311653137,0.010814737118780613,4.604988517761231,0.2537139073444996,4.604908866882324,0.0,0.0,0.0
