dataset,stream_step,progress_ratio,rolling_tda_vs_clip,rolling_freetta_vs_clip,rolling_freetta_vs_tda
dtd,1,0.0005319148936170213,,,
dtd,2,0.0010638297872340426,,,
dtd,3,0.0015957446808510637,,,
dtd,4,0.002127659574468085,,,
dtd,5,0.0026595744680851063,,,
dtd,6,0.0031914893617021275,,,
dtd,7,0.003723404255319149,,,
dtd,8,0.00425531914893617,,,
dtd,9,0.0047872340425531915,,,
dtd,10,0.005319148936170213,,,
dtd,11,0.005851063829787234,,,
dtd,12,0.006382978723404255,,,
dtd,13,0.006914893617021276,,,
dtd,14,0.007446808510638298,,,
dtd,15,0.007978723404255319,,,
dtd,16,0.00851063829787234,,,
dtd,17,0.009042553191489361,,,
dtd,18,0.009574468085106383,,,
dtd,19,0.010106382978723405,,,
dtd,20,0.010638297872340425,,,
dtd,21,0.011170212765957447,,,
dtd,22,0.011702127659574468,,,
dtd,23,0.01223404255319149,,,
dtd,24,0.01276595744680851,,,
dtd,25,0.013297872340425532,,,
dtd,26,0.013829787234042552,,,
dtd,27,0.014361702127659574,,,
dtd,28,0.014893617021276596,,,
dtd,29,0.015425531914893617,,,
dtd,30,0.015957446808510637,,,
dtd,31,0.01648936170212766,,,
dtd,32,0.01702127659574468,,,
dtd,33,0.017553191489361703,,,
dtd,34,0.018085106382978722,,,
dtd,35,0.018617021276595744,,,
dtd,36,0.019148936170212766,,,
dtd,37,0.019680851063829788,,,
dtd,38,0.02021276595744681,,,
dtd,39,0.02074468085106383,,,
dtd,40,0.02127659574468085,,,
dtd,41,0.021808510638297873,,,
dtd,42,0.022340425531914895,,,
dtd,43,0.022872340425531913,,,
dtd,44,0.023404255319148935,,,
dtd,45,0.023936170212765957,,,
dtd,46,0.02446808510638298,,,
dtd,47,0.025,,,
dtd,48,0.02553191489361702,,,
dtd,49,0.026063829787234042,,,
dtd,50,0.026595744680851064,,,
dtd,51,0.027127659574468086,,,
dtd,52,0.027659574468085105,,,
dtd,53,0.028191489361702127,,,
dtd,54,0.02872340425531915,,,
dtd,55,0.02925531914893617,,,
dtd,56,0.029787234042553193,,,
dtd,57,0.03031914893617021,,,
dtd,58,0.030851063829787233,,,
dtd,59,0.03138297872340425,,,
dtd,60,0.031914893617021274,,,
dtd,61,0.032446808510638296,,,
dtd,62,0.03297872340425532,,,
dtd,63,0.03351063829787234,,,
dtd,64,0.03404255319148936,,,
dtd,65,0.034574468085106384,,,
dtd,66,0.035106382978723406,,,
dtd,67,0.03563829787234043,,,
dtd,68,0.036170212765957444,,,
dtd,69,0.036702127659574466,,,
dtd,70,0.03723404255319149,,,
dtd,71,0.03776595744680851,,,
dtd,72,0.03829787234042553,,,
dtd,73,0.038829787234042554,,,
dtd,74,0.039361702127659576,,,
dtd,75,0.0398936170212766,,,
dtd,76,0.04042553191489362,,,
dtd,77,0.040957446808510635,,,
dtd,78,0.04148936170212766,,,
dtd,79,0.04202127659574468,,,
dtd,80,0.0425531914893617,,,
dtd,81,0.04308510638297872,,,
dtd,82,0.043617021276595745,,,
dtd,83,0.04414893617021277,,,
dtd,84,0.04468085106382979,,,
dtd,85,0.04521276595744681,,,
dtd,86,0.045744680851063826,,,
dtd,87,0.04627659574468085,,,
